id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,baths
22481060,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88045,-77.02455,Entire home/apt,80.0,31,11,1,195,0,5.0,1.0,1.0
22493531,"Brightwood Park, Crestwood, Petworth",38.93899,-77.02758,Entire home/apt,69.0,31,22,1,365,0,5.0,1.0,1.0
22496638,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93295,-77.04452,Entire home/apt,88.0,3,206,1,76,34,4.9,1.0,1.0
22504339,"Friendship Heights, American University Park, Tenleytown",38.94719,-77.08178,Entire home/apt,,31,0,1,0,0,unknown,2,2
22508080,"Union Station, Stanton Park, Kingman Park",38.89634,-76.98656,Entire home/apt,110.0,1,26,1,90,26,4.92,unknown,1
22513442,"Capitol Hill, Lincoln Park",38.8782,-76.98414,Entire home/apt,225.0,31,52,2,42,0,4.88,2.0,1.0
22516816,"Takoma, Brightwood, Manor Park",38.96781,-77.0248,Entire home/apt,150.0,4,11,2,254,4,4.73,2.0,2.0
22526002,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",38.86325,-76.94915,Entire home/apt,131.0,31,1,54,291,0,unknown,2,1
22528979,"Woodridge, Fort Lincoln, Gateway",38.92133,-76.95899,Private room,,31,3,1,0,0,5.0,1.0,1.0
22530963,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86674,-76.94832,Entire home/apt,88.0,31,79,3,76,4,4.89,1.0,1.0
22535385,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91174,-77.00617,Entire home/apt,117.0,3,194,1,270,6,4.96,1.0,1.0
22553714,"Union Station, Stanton Park, Kingman Park",38.90459,-77.0056,Entire home/apt,,31,4,1,0,0,5.0,2.0,1.0
22553946,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91902,-77.00926,Entire home/apt,67.0,2,280,1,74,49,4.65,1.0,1.0
22554380,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91798,-77.01433,Entire home/apt,159.0,2,184,1,338,10,4.84,2.0,2.0
22566196,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92032,-77.03317,Entire home/apt,,31,14,1,0,0,4.29,unknown,1
22568357,"Shaw, Logan Circle",38.91306,-77.03339,Entire home/apt,85.0,2,375,1,243,53,4.94,unknown,1
22583236,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92657,-77.02817,Entire home/apt,,31,99,1,0,0,4.8,1.0,1.0
22595540,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93619,-77.0308,Entire home/apt,89.0,4,139,1,320,26,4.87,1.0,1.0
22596561,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92916,-77.02942,Private room,,31,0,1,0,0,unknown,1,1
22601186,Historic Anacostia,38.86076,-76.97742,Private room,,31,5,1,0,0,5.0,1,unknown
22610265,"Near Southeast, Navy Yard",38.87856,-77.00041,Private room,103.0,3,32,2,341,14,5.0,1.0,5.0
22617173,"Congress Heights, Bellevue, Washington Highlands",38.84406114221984,-76.99095569329297,Entire home/apt,105.0,3,110,1,44,17,4.84,unknown,1
22618081,"Dupont Circle, Connecticut Avenue/K Street",38.91172,-77.0456,Private room,124.0,2,20,16,365,7,4.8,1,unknown
22630382,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.94306,-77.00496,Private room,80.0,31,0,2,0,0,unknown,1,unknown
22633189,"Dupont Circle, Connecticut Avenue/K Street",38.91475,-77.03476,Private room,109.0,4,228,2,69,43,4.96,1,unknown
22633496,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,Entire home/apt,110.0,31,1,37,363,0,unknown,1,1
22635161,"Dupont Circle, Connecticut Avenue/K Street",38.91172,-77.04573,Private room,130.0,2,17,16,320,1,4.65,1,unknown
22653176,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,Entire home/apt,193.0,31,12,37,365,0,4.67,2.0,2.0
22670474,"Capitol Hill, Lincoln Park",38.87746,-76.9877,Shared room,33.0,1,14,28,0,1,4.14,1,unknown
22670776,"Capitol Hill, Lincoln Park",38.87729,-76.98831,Shared room,30.0,1,47,28,0,4,4.28,1,unknown
22671304,"Howard University, Le Droit Park, Cardozo/Shaw",38.91498,-77.03383,Private room,89.0,4,266,2,69,47,4.94,1.0,1.0
22690411,"Shaw, Logan Circle",38.91144,-77.03014,Entire home/apt,170.0,3,187,1,142,41,4.99,1.0,1.0
22691885,"Capitol Hill, Lincoln Park",38.87917,-76.98945,Hotel room,29.0,1,37,28,365,14,4.43,1.0,1.0
22692174,"Capitol Hill, Lincoln Park",38.87752,-76.98912,Hotel room,29.0,1,45,28,0,30,4.33,1.0,1.0
22704423,"Shaw, Logan Circle",38.90883,-77.02642,Entire home/apt,100.0,1,426,2,0,87,4.9,1.0,1.0
22705219,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91808,-77.01128,Private room,67.0,1,134,4,81,27,4.56,1.0,5.0
22712422,"Takoma, Brightwood, Manor Park",38.9577,-77.01281,Entire home/apt,71.0,1,222,2,0,0,4.89,1.0,1.0
22718758,"Union Station, Stanton Park, Kingman Park",38.89661,-76.98743,Entire home/apt,120.0,2,85,1,365,16,4.94,1.0,1.0
22731835,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93535,-77.03761,Entire home/apt,,31,4,1,0,0,3.75,unknown,1
22743952,"North Cleveland Park, Forest Hills, Van Ness",38.94828,-77.05701,Entire home/apt,87.0,14,26,1,253,3,4.96,1.0,1.0
22745173,"Shaw, Logan Circle",38.91395,-77.02558,Entire home/apt,829.0,2,213,6,237,33,4.78,5.0,4.0
22773755,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92114,-77.00313,Entire home/apt,79.0,2,313,1,143,30,4.82,1.0,1.0
22784246,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93503,-77.03137,Private room,69.0,1,253,5,365,60,4.57,1,unknown
22792088,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93434,-77.05842,Entire home/apt,75.0,31,130,3,219,2,4.78,unknown,1
22794533,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90561,-76.98476,Private room,,31,0,1,0,0,unknown,1,1
22798280,"Brightwood Park, Crestwood, Petworth",38.93849,-77.02635,Private room,53.0,1,208,4,250,21,4.44,1.0,1.0
22807715,"Dupont Circle, Connecticut Avenue/K Street",38.91045,-77.04478,Entire home/apt,255.0,30,36,234,231,14,4.81,1.0,1.0
22825478,"Capitol Hill, Lincoln Park",38.88887,-76.99839,Entire home/apt,,2,176,1,0,39,4.81,1.0,1.0
22833646,"Union Station, Stanton Park, Kingman Park",38.89774,-76.99907,Entire home/apt,408.0,3,162,1,260,25,4.94,3.0,5.0
22849113,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91274127555139,-77.08847655324098,Private room,55.0,1,206,14,179,28,4.46,1,unknown
22849373,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91136140236392,-77.09063532721603,Private room,55.0,1,85,14,179,27,4.4,1,unknown
22889193,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.90651,-77.0826,Entire home/apt,135.0,2,215,4,0,42,4.84,1.0,1.0
22889391,"Brightwood Park, Crestwood, Petworth",38.93872,-77.02665,Private room,52.0,1,170,4,0,27,4.61,1.0,1.0
